symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumalated_quantity,order_trade_time
BTCUSDT,BUY,LIMIT,IOC,0.087,57426.73,57204.10,FILLED,0.087,0.087,2024-08-07 11:46:10
BTCUSDT,BUY,LIMIT,IOC,0.013,57440.88,57211.70,FILLED,0.013,0.013,2024-08-07 11:46:12
BTCUSDT,BUY,LIMIT,IOC,0.011,57385.52,57176.00,FILLED,0.011,0.011,2024-08-07 12:11:38
BTCUSDT,BUY,LIMIT,IOC,0.344,57390.14,57166.12,FILLED,0.034,0.344,2024-08-07 12:13:31
BTCUSDT,BUY,LIMIT,IOC,0.088,57151.57,57134.60,FILLED,0.083,0.088,2024-08-07 12:16:07
BTCUSDT,SELL,LIMIT,IOC,0.078,56748.22,56958.70,FILLED,0.078,0.078,2024-08-07 12:17:27
BTCUSDT,BUY,LIMIT,IOC,0.012,57359.98,57147.70,FILLED,0.012,0.012,2024-08-07 12:18:39
BTCUSDT,SELL,LIMIT,IOC,0.020,56717.8,56913.30,FILLED,0.02,0.020,2024-08-07 12:22:44
BTCUSDT,SELL,LIMIT,IOC,0.022,56697.12,56907.90,FILLED,0.022,0.022,2024-08-07 12:22:45
BTCUSDT,SELL,LIMIT,IOC,0.174,56689.47,56895.00,FILLED,0.174,0.174,2024-08-07 12:23:05
BTCUSDT,SELL,LIMIT,IOC,0.002,56673.91,56896.80,FILLED,0.002,0.002,2024-08-07 12:23:07
BTCUSDT,SELL,LIMIT,IOC,0.006,56669.21,56885.90,FILLED,0.006,0.006,2024-08-07 12:23:41
BTCUSDT,SELL,LIMIT,IOC,0.013,56652.58,56884.40,FILLED,0.013,0.013,2024-08-07 12:23:43
BTCUSDT,SELL,LIMIT,IOC,0.008,56648.77,56869.90,FILLED,0.008,0.008,2024-08-07 12:24:14
BTCUSDT,SELL,LIMIT,IOC,0.012,56954.2,56954.20,FILLED,0.012,0.012,2024-08-07 12:31:39
BTCUSDT,BUY,LIMIT,IOC,0.039,57312.94,57094.98,FILLED,0.037,0.039,2024-08-07 12:34:00
BTCUSDT,BUY,LIMIT,IOC,0.025,57336.32,57112.10,FILLED,0.025,0.025,2024-08-07 12:34:01
BTCUSDT,BUY,LIMIT,IOC,0.018,57339.23,57097.60,FILLED,0.018,0.018,2024-08-07 12:34:02
BTCUSDT,BUY,LIMIT,IOC,0.003,57350.06,57125.60,FILLED,0.003,0.003,2024-08-07 12:34:31
BTCUSDT,BUY,LIMIT,IOC,0.030,57350.95,57134.30,FILLED,0.03,0.030,2024-08-07 12:34:32
BTCUSDT,BUY,LIMIT,IOC,0.007,57338.04,57120.10,FILLED,0.007,0.007,2024-08-07 12:40:06
BTCUSDT,SELL,LIMIT,IOC,0.052,56686.2,56906.10,FILLED,0.04,0.052,2024-08-07 12:41:52
BTCUSDT,SELL,LIMIT,IOC,0.017,56681.6,56905.00,FILLED,0.017,0.017,2024-08-07 12:41:53
BTCUSDT,SELL,LIMIT,IOC,1.139,56652.69,56871.85,FILLED,0.035,1.139,2024-08-07 12:42:05
BTCUSDT,SELL,LIMIT,IOC,0.010,56651.11,56863.90,FILLED,0.01,0.010,2024-08-07 12:42:09
BTCUSDT,SELL,LIMIT,IOC,0.002,56635.44,56861.00,FILLED,0.002,0.002,2024-08-07 12:42:28
BTCUSDT,SELL,LIMIT,IOC,0.006,56634.78,56851.40,FILLED,0.006,0.006,2024-08-07 12:43:06
BTCUSDT,SELL,LIMIT,IOC,0.002,56626.84,56850.00,FILLED,0.002,0.002,2024-08-07 12:43:07
BTCUSDT,SELL,LIMIT,IOC,0.005,56621.36,56844.20,FILLED,0.005,0.005,2024-08-07 12:43:08
BTCUSDT,SELL,LIMIT,IOC,0.007,56603.5,56822.30,FILLED,0.007,0.007,2024-08-07 12:43:10
BTCUSDT,SELL,LIMIT,IOC,0.002,56597.18,56819.30,FILLED,0.002,0.002,2024-08-07 12:43:12
BTCUSDT,BUY,LIMIT,IOC,0.036,57277.71,57052.00,FILLED,0.036,0.036,2024-08-07 08:16:35.133
BTCUSDT,BUY,LIMIT,IOC,0.088,57200,57070.90,FILLED,0.088,0.088,2024-08-07 15:36:50

BTCUSDT,SELL,LIMIT,IOC,0.021,56900,57146.00,FILLED,0.021,0.021,2024-08-07 16:11:05
BTCUSDT,BUY,LIMIT,IOC,0.007,57500,57344.40,FILLED,0.007,0.007,2024-08-07 16:12:19
