symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumalated_quantity,order_trade_time
SOLUSDT,BUY,LIMIT,IOC,3,154.9766,154.3120,FILLED,3,3,2024-08-07 11:46:07
SOLUSDT,BUY,LIMIT,IOC,5,155.0902,154.3990,FILLED,5,5,2024-08-07 11:46:08
SOLUSDT,BUY,LIMIT,IOC,10,155.1706,154.4692,FILLED,2,10,2024-08-07 11:46:09
SOLUSDT,BUY,LIMIT,IOC,29,155.2111,154.4728,FILLED,2,29,2024-08-07 11:46:10
SOLUSDT,BUY,LIMIT,IOC,164,155.4100,154.4492,FILLED,50,164,2024-08-07 11:46:12
SOLUSDT,SELL,LIMIT,IOC,8,152.9443,153.6140,FILLED,8,8,2024-08-07 11:47:10
SOLUSDT,SELL,LIMIT,IOC,48,152.5981,153.3068,FILLED,6,48,2024-08-07 11:48:11
SOLUSDT,BUY,LIMIT,IOC,3,154.8308,154.1260,FILLED,3,3,2024-08-07 12:07:36
SOLUSDT,BUY,LIMIT,IOC,23,155.0406,154.2620,FILLED,14,23,2024-08-07 12:10:06
SOLUSDT,BUY,LIMIT,IOC,4,155.0832,154.3090,FILLED,4,4,2024-08-07 12:10:23
SOLUSDT,BUY,LIMIT,IOC,5,155.1778,154.4930,FILLED,5,5,2024-08-07 12:10:29
SOLUSDT,BUY,LIMIT,IOC,1,155.2797,154.5300,FILLED,1,1,2024-08-07 12:13:29
SOLUSDT,BUY,LIMIT,IOC,131,155.4903,154.7972,FILLED,115,131,2024-08-07 12:13:31
SOLUSDT,BUY,LIMIT,IOC,8,155.3965,154.6920,FILLED,8,8,2024-08-07 12:13:32
SOLUSDT,BUY,LIMIT,IOC,7,155.4155,154.6850,FILLED,3,7,2024-08-07 12:13:33
SOLUSDT,BUY,LIMIT,IOC,4,155.4621,154.6740,FILLED,4,4,2024-08-07 12:13:34
SOLUSDT,BUY,LIMIT,IOC,3,155.4714,154.6876,FILLED,2,3,2024-08-07 12:13:36
SOLUSDT,BUY,LIMIT,IOC,6,155.1375,154.3720,FILLED,1,6,2024-08-07 12:16:05
SOLUSDT,BUY,LIMIT,IOC,18,155.4393,154.6310,FILLED,5,18,2024-08-07 12:16:29
SOLUSDT,BUY,LIMIT,IOC,7,155.4442,154.7127,FILLED,4,7,2024-08-07 12:18:39
SOLUSDT,BUY,LIMIT,IOC,7,155.4925,154.7060,FILLED,7,7,2024-08-07 12:18:40
SOLUSDT,BUY,LIMIT,IOC,2,155.5107,154.7390,FILLED,2,2,2024-08-07 12:18:43
SOLUSDT,SELL,LIMIT,IOC,4,152.8889,153.6360,FILLED,2,4,2024-08-07 12:22:47
SOLUSDT,SELL,LIMIT,IOC,5,152.788,153.4804,FILLED,3,5,2024-08-07 12:23:06
SOLUSDT,SELL,LIMIT,IOC,6,152.7435,153.5420,FILLED,6,6,2024-08-07 12:23:07
SOLUSDT,SELL,LIMIT,IOC,9,152.6269,153.3900,FILLED,9,9,2024-08-07 12:24:28
SOLUSDT,SELL,LIMIT,IOC,1,152.5949,153.2900,FILLED,1,1,2024-08-07 12:24:35
SOLUSDT,BUY,LIMIT,IOC,65,154.8397,154.0761,FILLED,2,65,2024-08-07 12:33:38
SOLUSDT,BUY,LIMIT,IOC,13,154.9566,154.2257,FILLED,2,13,2024-08-07 12:33:43
SOLUSDT,BUY,LIMIT,IOC,12,155.0956,154.3827,FILLED,11,12,2024-08-07 12:34:00
SOLUSDT,BUY,LIMIT,IOC,11,155.1709,154.3517,FILLED,2,11,2024-08-07 12:34:19
SOLUSDT,BUY,LIMIT,IOC,4,155.1961,154.4920,FILLED,3,4,2024-08-07 12:34:29
SOLUSDT,BUY,LIMIT,IOC,14,155.2621,154.5700,FILLED,14,14,2024-08-07 12:34:31
SOLUSDT,BUY,LIMIT,IOC,39,155.3359,154.5010,FILLED,39,39,2024-08-07 12:34:36
SOLUSDT,BUY,LIMIT,IOC,21,155.4315,154.6590,FILLED,11,21,2024-08-07 12:37:57
SOLUSDT,BUY,LIMIT,IOC,1,155.5133,154.7550,FILLED,1,1,2024-08-07 12:38:10
SOLUSDT,BUY,LIMIT,IOC,6,155.5327,154.7520,FILLED,2,6,2024-08-07 12:38:11
SOLUSDT,BUY,LIMIT,IOC,1,155.5548,154.7990,FILLED,1,1,2024-08-07 12:38:26
SOLUSDT,BUY,LIMIT,IOC,9,155.583,154.7780,FILLED,1,9,2024-08-07 12:38:32
SOLUSDT,BUY,LIMIT,IOC,6,155.6024,154.8170,FILLED,5,6,2024-08-07 12:39:03
SOLUSDT,BUY,LIMIT,IOC,220,155.7777,154.8471,FILLED,17,220,2024-08-07 12:39:07
SOLUSDT,BUY,LIMIT,IOC,3,155.6483,154.8550,FILLED,3,3,2024-08-07 12:39:10
SOLUSDT,SELL,LIMIT,IOC,4,153.2236,153.8940,FILLED,4,4,2024-08-07 12:41:18
SOLUSDT,SELL,LIMIT,IOC,4,153.136,153.8340,FILLED,4,4,2024-08-07 12:41:22
SOLUSDT,SELL,LIMIT,IOC,32,152.9307,153.6419,FILLED,3,32,2024-08-07 12:42:07
SOLUSDT,SELL,LIMIT,IOC,10,152.886,153.5870,FILLED,10,10,2024-08-07 12:42:10
SOLUSDT,SELL,LIMIT,IOC,1,152.661,153.4120,FILLED,1,1,2024-08-07 12:42:37
